ITP,CZP,ENP,PD,PE
piatto,talíř,plate,,ano
su,na,on,,ano
su,o (na téma),about,o -> about ?,ano
laggiù,tam / tamhle,there,tam -> there ?,ano
torta,"dort, koláč",cake,,ano
troppo,příliš / moc,toomuch,,ano
forte,"silný, hlasitě (nahlas)",strong,,ano
cappello,klobouk,hat,,ano
amica,kamarádka,woman,,ano
fidanzata,přítelkyně,woman,,ano
cantare,zpívat,sing,,ano
portafoglio,peněženka,wallet,,ano
portafoglio,portfolio (soubor investic),wallet,,ano
mi chiamo,jmenuji se,bye,,ano
Come stai? Come va?,Jak se máš?,bye,,ano
vengo,pocházím,house,,ano
E tu?,A ty?,andyou,,ano
piacere,těší mě,bye,,ano
a presto,brzy na viděnou,bye,,ano
arrivederci,na shledanou,bye,,ano
vorrei,chtěl bych,Iwouldlike,,ano
per favore,prosím,please,,ano
sì,ano,yes,,ano
io,já,me,,ano
anche,také,also,,ano
perfetto,skvěle,good,,ano
o,nebo,or,,ano
e,a,and,,ano
dove,kde,where,,ano
di dove,odkud,fromwhere,,ano
bene,dobře,good,,ano
ho,mám,Ihave,,ano
abita,bydlí,house,,ano
hai,máš,have,,ano
nipote,synovec,man,,ano
nipote,neteř,woman,,ano
figlia,dcera,sister,,ano
figlio,syn,man,,ano
adesso,teď,now,"teď, nyní -> now ?",ano
zia,teta,aunt,,ano
zio,strýc,uncle,,ano
tu,ty,you,,ano
lui,on,man,,ano
voi,vy,people,,ano
noi,my,people,,ano
loro,"ony, oni",people,,ano
mio,můj,mym,,ano
mia,moje,myf,,ano
tuo,tvůj,yourm,,ano
tua,tvá,yourf,,ano
una,jedna (neurčitý člen),a,"add, json doplněno",ne
un,jeden (neurčitý člen),a,"add, json doplněno",ne
sorella,sestra,sister,,ano
fratello,bratr,man,,ano
madre,matka,mother,,ano
padre,otec,father,,ano
nonna,babička,grandmother,,ano
nonno,dědeček,gradfather,,ano
molto,velmi,very,,ano
divertente,zábavný,funny,,ano
interessante,zajímavý,interesting,,ano
cattivo,"zlý, protivný",evil,,ano
sono,já jsem,iam,,ano
sicuro,jistý,sure,,ano
certo,samozřejmě,ofcourse,,ano
sempre,"pořád, stále, vždy",always,,ano
per niente,vůbec,notatall,,ano
ma,ale,but,,ano
giacca,sako,blazer,,ano
brutto,"ošklivý, špatný",ugly,doplněno do json,ano
specchio,zrcadlo,miror,,ano
camicia,košile,shirt,,ano
lontano,daleko,far,,ano
ci,tam,there,,ano
ci,"nás, nám",people,doplněno do json,ano
vicino,blízko,near,,ano
vicino,soused,man,,ano
uscita,východ,exit,,ano
ora,"teď, nyní",now,,ano
ora,hodina,clock,,ano
cappotto,kabát,coat,,ano
maglione,svetr,sweater,,ano
gonna,sukně,skirt,,ano
scontrino,účtenka,bill,,ano
cibo,jídlo,meal,,ano
regalo,dárek,present,,ano
compleanno,narozeniny,cake2,,ano
biscotto,sušenka,cookie,,ano
piazza,náměstí,square,,ano
lì,tam,there,,ano
giallo,žlutý,yellow,,ano
bagno,koupelna,bathroom,,ano
cane,pes,dog,,ano
ogni,každý,everyday,doplněno do json,ano
caldo,teplý,warm,,ano
tedesco,"němec, němčina",german,,ano
Lei,vy,people,,ano
lei,ona,woman,,ano
ragazza,dívka,woman,,ano
guardare,"dívat se, sledovat",eyes,doplněno do json,ano
per,per,perJulia,"add, doplněno do json",ne
per,aby,inorderto,"add, doplněno do json",ne
pompelmo,grep,grapefruit,,ano
bicchiere,sklenice,glass,,ano
mirtilli,borůvky,blueberry,,ano
mela,jablko,apple,,ano
fragola,jahoda,strawberry,,ano
éclair,zákusek,cake,,ano
allora,"tak, tedy, tehdy",sothenwell,"add, doplněno json",ne
insegnare,"učit, vyučovat",teacher,,ano
lavorare,pracovat,letsgo,obr je,ano
spesso,často,often,"add, doplněno do json",ne
ballare,tančit,dance,,ano
storia,"historie, příběh",history,doplněno do json,ano
brioche,"brioška, sladké pečivo",bakery,"add, doplněno do json",ne
forno,trouba,oven,,ano
mercato,trh,market,,ano
negozio,obchod,store,,ano
panificio,pekárna,bakery,,ano
piacere,"líbit se, potěšení",tolikepleasure,"add, doplněno do json",ne
grazie,děkuji,thankyou,,ano
come,"jak, jako",how,doplněno do json,ano
ufficio,"kancelář, úřad",office,,ano
ospedale,nemocnice,hospital,,ano
